Type,Code,Thème,Catégorie
vérification,DG.5.2,Dispositions générales,Extensions neuves ajoutées au bâtiment
vérification,DG.6.1,Dispositions générales,"Surélévations neuves, études préliminaires"
identification,DG.6.2,Dispositions générales,Dérogations possibles d'après l'Ordonnance Duflot
vérification,DG.6.3,Dispositions générales,Diagnostic structurel
vérification,DG.6.4,Dispositions générales,Plancher technique et passage des canalisations
vérification,DG.6.5,Dispositions générales,Surélévations neuves : local de stockage des déchets
vérification,SE.1.1.16,Sécurité et sûreté,Tous les garde-corps de l'opération conformes aux normes
vérification,SE.1.1.18,Sécurité et sûreté,Le dimensionnement des garde-corps
vérification,SE.1.2.1.1,Sécurité et sûreté,Signalétique de l'installation Photovoltaïque
vérification,SE.1.2.1.2,Sécurité et sûreté,Disjoncteur facilement accessible sur l'installation d'une revente totale
vérification,SE.1.2.1.3,Sécurité et sûreté,Disjoncteur facilement accessible sur l'installation d'une revente partielle
cohérence,SE.1.2.1.4,Sécurité et sûreté,Dispositif de sécurisation
vérification,SE.1.2.2.1,Sécurité et sûreté,Avis des services départementaux sur les bornes IRVE
vérification,SE.1.3.5,Sécurité et sûreté,Normes pour les modules photovoltaïques
vérification,SE.1.3.7,Sécurité et sûreté,Installation des bornes pour véhicule électrique
identification,SE.2.1.3,Sécurité et sûreté,Réduction des champs électromagnétiques
vérification,SE.2.2.5,Sécurité et sûreté,Détection de la toxicité
vérification,SE.3.2,Sécurité et sûreté,L'outil Sûreté
vérification,SE.3.20,Sécurité et sûreté,Sécurisation du parc de stationnement intérieur
vérification,QAI.1.1.4,Qualité de l'air intérieur,Pollution des sols
vérification,QAI.1.1.5,Qualité de l'air intérieur,Radon
vérification,QAI.1.1.9,Qualité de l'air intérieur,Hotte de cuisine
vérification,QAI.1.1.10,Qualité de l'air intérieur,Surventilation des logements
vérification,QAI.1.2.2,Qualité de l'air intérieur,Etiquetage sanitaire
vérification,QAI.1.2.5,Qualité de l'air intérieur,Label EMICODE
identification,QAI.1.2.6,Qualité de l'air intérieur,Label Ecolabel européen
vérification,QAI.1.2.9,Qualité de l'air intérieur,Labels CTB-B+/P+
vérification,QAI.1.2.19,Qualité de l'air intérieur,Emissions COV et formaldéhyde
vérification,QAI.1.2.20,Qualité de l'air intérieur,Appendice C Taxinomie
vérification,QAI.2.1.2,Qualité de l'air intérieur,Détalonnage des portes
vérification,QAI.2.1.7,Qualité de l'air intérieur,Exigences de ventilation de la rubrique PERF
vérification,QAI.2.4.11,Qualité de l'air intérieur,Calcul de dimensionnement par l'entreprise
identification,QAI.2.4.50,Qualité de l'air intérieur,Calcul de dimensionnement par un BET en collectif
vérification,QAI.2.4.23,Qualité de l'air intérieur,Création de conduits de ventilation
vérification,QAI.2.4.25,Qualité de l'air intérieur,Entretien et maintenance VMC
vérification,QAI.2.4.41,Qualité de l'air intérieur,Occultations extérieures des fenêtres
vérification,QAI.2.4.42,Qualité de l'air intérieur,Positionnement des entrées d'air
vérification,QAI.2.4.44,Qualité de l'air intérieur,Accessoires à joint
vérification,QAI.2.4.63,Qualité de l'air intérieur,Mesures de débit ou de pression / RE2020
vérification,QAI.2.4.45,Qualité de l'air intérieur,Mesure de perméabilité des réseaux
identification,QAI.2.4.46,Qualité de l'air intérieur,Filtres à air
vérification,QAI.2.4.48,Qualité de l'air intérieur,Isolation et efficacité
vérification,QAI.2.4.49,Qualité de l'air intérieur,Changement des filtres en fin de chantier
identification,QAI.2.6.2,Qualité de l'air intérieur,Fenêtre en salle d'eau
vérification,QAI.3.1.1,Qualité de l'air intérieur,Mesures de la qualité de l’air intérieur
vérification,QE.1.1.3,Qualité de l'eau,Clapet anti-retour en construction
cohérence,QE.1.2.1,Qualité de l'eau,Traitement physico-chimique
vérification,QE.1.3.1,Qualité de l'eau,Eau dure
vérification,QE.2.2,Qualité de l'eau,Maintien en température ECS
vérification,QE.3.1,Qualité de l'eau,Récupération et réutilisation des eaux pluviales
vérification,QE.4.1.1,Qualité de l'eau,Rinçage
vérification,QE.4.2.1,Qualité de l'eau,Analyse d'eau
vérification,QE.4.2.3,Qualité de l'eau,Complément analyse d'eau
vérification,QE.4.4.1,Qualité de l'eau,Légionelles
vérification,RES.1.1,Résilience vis-à-vis des risques,Information aux habitants et gestionnaires
vérification,RES.1.2,Résilience vis-à-vis des risques,Prise en charge des effets des aléas climatiques
vérification,RES.1.7,Résilience vis-à-vis des risques,Indicateurs de suivi
vérification,FL.1.1.1.1,Fonctionnalités des lieux,Vanne d'arrêt logement
vérification,FL.1.1.1.2,Fonctionnalités des lieux,Alimentation et évacuation pour machine à laver
vérification,FL.1.1.1.3,Fonctionnalités des lieux,Vanne d'arrêt pièces humides
vérification,FL.1.1.1.15,Fonctionnalités des lieux,Type de robinet
vérification,FL.1.1.2.1,Fonctionnalités des lieux,Occultations motorisées
vérification,FL.1.1.2.5,Fonctionnalités des lieux,Occultations automatisées
vérification,FL.1.3.2.1,Fonctionnalités des lieux,Interrupteur va et vient
vérification,FL.1.1.3.3,Fonctionnalités des lieux,Interrupteurs de type va-et-vient
vérification,FL.1.1.7.1,Fonctionnalités des lieux,Adaptabilité
vérification,FL.1.3.1.1,Fonctionnalités des lieux,Linéaire de mur libre
vérification,FL.1.3.1.2,Fonctionnalités des lieux,Surface chambre
vérification,FL.1.4.1.1,Fonctionnalités des lieux,Plan d'aménagement cuisine
vérification,FL.1.4.1.2,Fonctionnalités des lieux,Plan d'aménagement
vérification,FL.1.4.2.1,Fonctionnalités des lieux,Crédence au pourtour de l'évier
vérification,FL.1.4.2.2,Fonctionnalités des lieux,Crédence cuisine
identification,FL.1.4.4.1,Fonctionnalités des lieux,Surface tri des déchets
vérification,FL.1.4.4.4,Fonctionnalités des lieux,Equipements tri des déchets
vérification,FL.1.5.1.1,Fonctionnalités des lieux,WC et salle d'eau en T5
vérification,FL.3.6.1,Fonctionnalités des lieux,Barres d'appui
vérification,FL.1.5.1.2,Fonctionnalités des lieux,Equipements sanitaires supplémentaires
vérification,FL.1.5.1.10,Fonctionnalités des lieux,WC en T4
vérification,FL.1.5.1.18,Fonctionnalités des lieux,Lave-main
vérification,FL.1.5.2.1,Fonctionnalités des lieux,Portes salles d'eau et WC
vérification,FL.1.5.3.1,Fonctionnalités des lieux,Revêtement mural salle d'eau
vérification,FL.1.6.1.1,Fonctionnalités des lieux,Rangements
vérification,FL.6.1.1,Fonctionnalités des lieux,Chambre
vérification,FL.1.6.1.2,Fonctionnalités des lieux,Rangements supplémentaires
vérification,FL.1.6.3.1,Fonctionnalités des lieux,Espaces privatifs extérieurs
vérification,FL.2.2.1.5,Fonctionnalités des lieux,Sensibilisation santé bien être
vérification,FL.2.2.2.6,Fonctionnalités des lieux,Ascenseur
vérification,FL.2.2.2.7,Fonctionnalités des lieux,Position ascenseur
vérification,FL.2.2.2.11,Fonctionnalités des lieux,Incitation à emprunter les escaliers
vérification,FL.2.3.1,Fonctionnalités des lieux,Positionnement des trappes passe-paquet
vérification,FL.2.3.2,Fonctionnalités des lieux,Local stockage déchet
vérification,FL.2.3.4,Fonctionnalités des lieux,Local stockage déchet en sous-sol
vérification,FL.2.3.5,Fonctionnalités des lieux,Local stockage des déchets en extérieur
vérification,FL.2.3.6,Fonctionnalités des lieux,Abri-bacs
vérification,FL.2.3.7,Fonctionnalités des lieux,Local déchet mutualisé intérieur
vérification,FL.2.3.8,Fonctionnalités des lieux,Apport volontaire
identification,FL.2.3.10,Fonctionnalités des lieux,Eloignement des stockages de déchets extérieurs
vérification,FL.2.3.11,Fonctionnalités des lieux,Nombre de porte à franchir
vérification,FL.2.3.12,Fonctionnalités des lieux,Surdimensionnement
vérification,FL.2.3.13,Fonctionnalités des lieux,Compostage
vérification,FL.2.3.14,Fonctionnalités des lieux,Pénibilité des bacs
vérification,FL.2.3.16,Fonctionnalités des lieux,Abandon de la collecte par conteneurs
vérification,FL.2.3.18,Fonctionnalités des lieux,Local encombrants
vérification,FL.2.3.27,Fonctionnalités des lieux,Revêtements de sols et de murs
vérification,FL.2.3.30,Fonctionnalités des lieux,Dimensionnement du local de stockage des déchets
vérification,FL.2.3.34,Fonctionnalités des lieux,Planning de ramassage
vérification,FL.2.3.48,Fonctionnalités des lieux,Verouillage local Trappe passe-paquet
vérification,FL.2.3.51,Fonctionnalités des lieux,Collecte pneumatique des déchets
identification,FL.2.4.1,Fonctionnalités des lieux,Accessibilité PMR
vérification,FL.2.4.4,Fonctionnalités des lieux,Signalétique
cohérence,CH.1.18,Confort hygrothermique,Facteur solaire (RE2020)
vérification,CH.2.1,Confort hygrothermique,Degrés-heures (RE2020)
vérification,CH.2.2,Confort hygrothermique,Occultations extérieures
vérification,CH.2.1.1,Confort hygrothermique,Surventilation nocturne
vérification,CH.2.1.5,Confort hygrothermique,Puit provençal
vérification,CH.2.1.23,Confort hygrothermique,Brasseur d'air
vérification,CH.2.2.1,Confort hygrothermique,Espace ombragé
vérification,CH.2.4.12,Confort hygrothermique,Hauteur sous plafond des pièces principales
vérification,CH.3.4.17,Confort hygrothermique,Etude aéraulique
identification,CH.3.4.18,Confort hygrothermique,Logements traversants ou bi-orientés
vérification,CH.3.5.1,Confort hygrothermique,Espace de rafraichissement
vérification,CH.3.1,Confort hygrothermique,Feuillure de baie
identification,CH.4.1,Confort hygrothermique,Nombre moyen d'heures d'inconfort
vérification,CH.5.1,Confort hygrothermique,Plancher chauffant
vérification,CH.6.1.1,Confort hygrothermique,Végétalisation des linéaires de façades
identification,CH.6.2.1,Confort hygrothermique,Végétalisation façade
identification,CH.6.2.3,Confort hygrothermique,Végétalisation toiture
vérification,QA.1.2,Qualité Acoustique,Bruit aérien extérieur
vérification,QA.2.10,Qualité Acoustique,Bruit aérien entre logements en transmission verticale
vérification,QA.2.11,Qualité Acoustique,Bruit aérien entre logements en transmission horizontale
vérification,QA.2.12,Qualité Acoustique,Bruit aérien entre logements et circulations communes / 1 porte
vérification,QA.2.13,Qualité Acoustique,Bruit aérien entre logements et circulations communes / 2 portes
vérification,QA.2.14,Qualité Acoustique,Bruit aérien entre logements et circulations communes / 3 portes ou plus
vérification,QA.2.15,Qualité Acoustique,Bruit aérien entre garages et logements en transmission verticale
vérification,QA.2.16,Qualité Acoustique,Bruit aérien entre garages et logements en transmission horizontale
vérification,QA.2.17,Qualité Acoustique,Bruit aérien entre locaux d'activités et logements en transmission verticale
vérification,QA.2.18,Qualité Acoustique,Bruit aérien entre locaux d'activités et logements en transmission horizontale
vérification,QA.3.4,Qualité Acoustique,Escaliers bois
vérification,QA.3.12,Qualité Acoustique,Chape acoustique
vérification,QA.3.13,Qualité Acoustique,Bruit de choc des locaux intérieurs en transmission verticale
vérification,QA.3.14,Qualité Acoustique,Bruit de choc des locaux intérieurs en transmission horizontale
vérification,QA.3.15,Qualité Acoustique,Bruit de choc des terrasses en transmission verticale
vérification,QA.3.16,Qualité Acoustique,Bruit de choc des coursives en transmission horizontale
vérification,QA.3.17,Qualité Acoustique,Bruit de choc des dépendances et garages en transmission verticale
vérification,QA.3.18,Qualité Acoustique,Bruit de choc des dépendances et garages en transmission horizontale
vérification,QA.4.9,Qualité Acoustique,Bruit des chaudières individuelles
vérification,QA.4.10,Qualité Acoustique,Bruit des autres appareils individuels de chauffage et de climatisation
vérification,QA.4.11,Qualité Acoustique,Bruit des chaufferies collectives
vérification,QA.4.12,Qualité Acoustique,Bruit des ascenseurs
vérification,QA.4.13,Qualité Acoustique,Bruit des chutes d'eau
cohérence,QA.4.14,Qualité Acoustique,Bruit de la VMC simple flux
vérification,QA.4.15,Qualité Acoustique,Bruit de la VMC double flux
vérification,QA.4.16,Qualité Acoustique,Bruit des chauffe-eaux thermodynamiques
vérification,QA.4.17,Qualité Acoustique,Bruit des autres équipements individuels
vérification,QA.4.18,Qualité Acoustique,Bruit des autres équipements collectifs
vérification,QA.4.19,Qualité Acoustique,Bruits provenant de l'accès au garage
vérification,QA.4.20,Qualité Acoustique,Bruits du système de collecte pneumatique des déchets
vérification,QA.4.21,Qualité Acoustique,Bruits des modules extérieurs de pompes à chaleur
vérification,QA.5.10,Qualité Acoustique,Réverbération dans les circulations communes
vérification,QA.5.11,Qualité Acoustique,Réverbération des halls
cohérence,QA.5.12,Qualité Acoustique,Réverbération des escaliers encloisonnés
vérification,QA.5.13,Qualité Acoustique,Réverbération dans les garages collectifs ouverts
vérification,QA.6.1,Qualité Acoustique,Cloisons intérieures
vérification,QA.6.2,Qualité Acoustique,Détalonnage des portes intérieures
vérification,QA.6.3,Qualité Acoustique,Sonorité à la marche
vérification,QA.6.4,Qualité Acoustique,Aire absorption équivalente intérieure
vérification,QA.6.5,Qualité Acoustique,"Chapes, plafonds, doublages non filants"
vérification,QA.6.8,Qualité Acoustique,Deux portes entre séjour et chambres
vérification,QA.6.9,Qualité Acoustique,Deux portes entre séjour et WC
vérification,QA.6.12,Qualité Acoustique,Logement en coliving
calcul,QA.7.1,Qualité Acoustique,QAB
vérification,QA.7.4,Qualité Acoustique,QES
vérification,QA.9.1,Qualité Acoustique,Prise en compte des règles spécifiques à la certification
vérification,QA.9.2,Qualité Acoustique,Attestations acoustiques à fournir
vérification,QA.9.3,Qualité Acoustique,Attestations acoustiques complémentaires
vérification,QA.9.4,Qualité Acoustique,Règle à appliquer pour les mesures acoustiques
vérification,QA.9.5,Qualité Acoustique,Traitement des non-conformités
vérification,QA.9.6,Qualité Acoustique,Mesures en fin de chantier
vérification,CV.1.1.1.1,Confort visuel,Indice d'ouverture en collectif
vérification,CV.1.1.1.2,Confort visuel,Facteur de lumière de jour
vérification,CV.1.1.1.3,Confort visuel,Surface totale des baies
vérification,CV.1.1.1.4,Confort visuel,Eclairage naturel en salle d'eau
vérification,CV.1.1.1.6,Confort visuel,Eclairage naturel pièces annexes
vérification,CV.1.1.2.1,Confort visuel,Risque d'éblouissement
vérification,CV.1.2.1.1,Confort visuel,Eclairage naturel circulations communes
vérification,CV.1.2.1.8,Confort visuel,Zone avec boîtes aux lettres
vérification,CV.1.2.1.9,Confort visuel,Attractivité des circulations communes
vérification,CV.2.1.2,Confort visuel,Point d'éclairage
vérification,CV.2.2.1,Confort visuel,Indice de rendu de couleurs
vérification,CV.2.2.2,Confort visuel,Facteur de réflexion
identification,ST.1.1,Services et Transports,Etat des lieux des services
vérification,ST.1.2,Services et Transports,Proximité des services à l'opération
vérification,ST.1.4,Services et Transports,Information collecte déchets
vérification,ST.2.1,Services et Transports,Proximité des transports à l'opération
vérification,ST.2.2,Services et Transports,Etat des lieux des stations de transports
vérification,ST.3.3,Services et Transports,Bornes véhicules électriques
vérification,ST.4.1.2,Services et Transports,Emplacement local vélos/poussettes
vérification,ST.4.1.3,Services et Transports,Dimensionnement local vélos/poussettes
vérification,ST.4.1.4,Services et Transports,Local vélos et local poussettes
vérification,ST.4.1.6,Services et Transports,Système de contrôle d'accès
vérification,ST.4.1.7,Services et Transports,Portes local vélos/poussettes
vérification,ST.4.1.9,Services et Transports,Local vélos/poussettes au RDC
vérification,ST.4.1.14,Services et Transports,Bancs et casiers
identification,ST.4.6.1,Services et Transports,Espace collectif
vérification,ST.4.6.6,Services et Transports,Espaces d'activités physiques
vérification,BC.2.1.1.1,Bâtiment connecté,Raccordement à la fibre optique
vérification,BC.2.1.2.1,Bâtiment connecté,Raccordement du logement au réseau de communication
vérification,BC.2.1.2.2,Bâtiment connecté,Le brassage dans le logement
vérification,BC.2.1.3.1,Bâtiment connecté,Autocontrôles des entreprises de la fibre optique
vérification,BC.2.1.3.3,Bâtiment connecté,Autocontrôles des entreprises
vérification,BC.2.2.1.1,Bâtiment connecté,Mise en place d'un réseau IP dédié au parties communes
vérification,BC.2.3.1.1,Bâtiment connecté,Equipements connectés au réseau IP
vérification,BC.2.3.1.2,Bâtiment connecté,API ouvertes des équipements connectés
identification,BC.2.4.1.1,Bâtiment connecté,Usages en parties communes
identification,BC.2.4.2.1,Bâtiment connecté,Usages dans les logements
vérification,BC.2.5.1.1,Bâtiment connecté,Confidentialité et protection des données personnelles
vérification,BC.2.5.2.1,Bâtiment connecté,Système de protection et d’accès contre le piratage
vérification,BC.2.5.2.2,Bâtiment connecté,Mise en place d'un SMSI
vérification,BC.2.5.3.1,Bâtiment connecté,Fonctionnement des équipements sans connexion
vérification,BC.2.6.1.1,Bâtiment connecté,Attestations de formation type objectif fibre
vérification,BC.2.6.1.3,Bâtiment connecté,Management AMO smart
vérification,PE.1.1.66,Performance énergétique,Respect des indicateurs énergie réglementaire
vérification,PE.1.1.68,Performance énergétique,Renforcement du Bbio
vérification,PE.1.1.69,Performance énergétique,Production d'électricité
vérification,PE.1.1.5.1,Performance énergétique,Intégrité thermique
identification,PE.1.1.27,Performance énergétique,Niveaux de performance énergétique en rénovation lourde
vérification,PE.1.4.4,Performance énergétique,"Indicateur ""Energie Primaire non renouvelable"""
vérification,PE.2.1.1,Performance énergétique,Calcul de déperditions pièce par pièce
vérification,PE.2.1.4,Performance énergétique,Emetteur de chaleur par pièce
vérification,PE.2.2.1.1,Performance énergétique,"Performance des convecteurs, panneaux rayonnants, radiateurs électriques"
vérification,PE.2.2.1.2,Performance énergétique,Prescriptions Techniques Plancher Rayonnant Electrique
vérification,PE.2.2.1.3,Performance énergétique,Prescriptions Techniques Plafond Rayonnant Electrique
vérification,PE.2.2.1.4,Performance énergétique,Prescriptions Techniques Plafond Rayonnant Plâtre
vérification,PE.2.2.1.5,Performance énergétique,Performance des sèche-serviettes
vérification,PE.2.2.2.1,Performance énergétique,Appareils certifiés NF
vérification,PE.2.2.2.2,Performance énergétique,Appareils certifiés Eurovent Certified Performance
vérification,PE.2.3.2.1,Performance énergétique,Performance chaudière individuelle biomasse
vérification,PE.2.3.3.1,Performance énergétique,Performance chaudière collective biomasse à chargement automatique
vérification,PE.2.3.4.1,Performance énergétique,Performance chaudière individuelle à combustion liquide ou gazeux
vérification,PE.2.3.5.1,Performance énergétique,Performance chaudière collective à combustible liquide ou gazeux
vérification,PE.2.3.6.1,Performance énergétique,Performance chaudière micro-cogénération
vérification,PE.2.3.7.1,Performance énergétique,Calorifugeage des composants de la sous-station
vérification,PE.2.3.8.1,Performance énergétique,Performance générateurs hybrides individuels / PAC et Chaudière gaz
vérification,PE.2.3.9.1,Performance énergétique,Performance Chauffage PAC individuelle à compression électrique
vérification,PE.2.3.9.3,Performance énergétique,Performance refroidissement PAC individuelle à compression électrique
vérification,PE.2.3.10.1,Performance énergétique,Performance PAC collective à compression électrique
vérification,PE.2.3.12.1,Performance énergétique,Performance PAC collective à absorption au gaz
vérification,PE.2.4.1.2,Performance énergétique,Dispositif de programmation
vérification,PE.2.4.1.3,Performance énergétique,Thermostats
vérification,PE.2.4.1.4,Performance énergétique,Régulation pour plafonds rayonnants électriques (modules chauffants)
vérification,PE.2.4.1.5,Performance énergétique,Régulation pour plafonds rayonnants plâtre (PRP)
vérification,PE.2.4.2.3,Performance énergétique,Régulation chauffage individuel par pompe à chaleur
vérification,PE.2.4.2.4,Performance énergétique,Régulation par robinet à tête thermostatique
vérification,PE.2.4.2.5,Performance énergétique,Régulation chauffage individuel par chaudière et radiateur eau chaude
vérification,PE.2.4.2.6,Performance énergétique,Régulation chauffage individuel par chaudière et émission plancher chauffant
vérification,PE.2.4.2.7,Performance énergétique,Régulation chauffage individuel par PAC et émission plancher chauffant
vérification,PE.2.4.2.8,Performance énergétique,Programmation chauffage individuel à eau chaude
vérification,PE.2.4.3.4,Performance énergétique,Régulation en fonction de la température extérieure
vérification,PE.2.4.3.7,Performance énergétique,Régulation par robinet à tête thermostatique par pièce
vérification,PE.2.4.3.8,Performance énergétique,Programmation des changements de régime
vérification,PE.2.4.3.11,Performance énergétique,Régulation optimisée par façades
vérification,PE.2.4.5.3,Performance énergétique,Régulation en fonction de la température intérieur sur débit d'air
vérification,PE.2.4.6.2,Performance énergétique,Programmation chauffage individuel à air
vérification,PE.2.4.7.1,Performance énergétique,Commutation entre les systèmes
vérification,PE.3.1.1.1,Performance énergétique,Performance ECS chaudière individuelle à combustible gazeux
vérification,PE.3.1.2.1,Performance énergétique,Performance ECS chaudière individuelle à combustible liquide
vérification,PE.3.1.4.1,Performance énergétique,Performance des chauffe-eaux électriques à accumulation
vérification,PE.3.1.5.1,Performance énergétique,Performance des chauffe-eaux thermodynamiques individuels
vérification,PE.3.1.6.1,Performance énergétique,Performance ECS Générateurs hybrides individuels PAC et chaudière Gaz
vérification,PE.3.1.7.1,Performance énergétique,Dimensionnement PAC individuelle à compression électrique double service
vérification,PE.3.1.8.1,Performance énergétique,Dimensionnement installation de production d'eau chaude sanitaire collective
vérification,PE.3.1.9.1,Performance énergétique,Dimensionnement production d'ECS individualisé (CIC avec MTA)
vérification,PE.3.1.10.1,Performance énergétique,Conformité aux règles d'installation du CNPG
vérification,PE.3.1.11.1,Performance énergétique,Dimensionnement de l'installation et marquage
vérification,PE.3.1.12.1,Performance énergétique,Avis technique et certification des capteurs solaires vitrées
vérification,PE.3.1.13.1,Performance énergétique,Avis technique et certification des capteurs solaires non vitrées
vérification,PE.3.1.14.1,Performance énergétique,Certification Chauffe-eau solaire
vérification,PE.3.1.15.1,Performance énergétique,Dimensionnement pour le système solaire combiné
identification,PE.3.1.16.1,Performance énergétique,Dimensionnement pour le chauffe-eau solaire collectif
vérification,PE.3.1.17.1,Performance énergétique,Dimensionnement pour le chauffe-eau solaire collectif individualisé
vérification,PE.3.1.19.1,Performance énergétique,Installation de récupération de chaleur sur eaux usées et eaux grises
vérification,PE.4.1.3,Performance énergétique,"Titre V ""Cas particuliers"""
identification,PE.4.2.3,Performance énergétique,Système innovant
identification,PE.6.1.1,Performance énergétique,Efficacité lumineuse luminaire et lampe des parties communes
vérification,PE.6.1.2,Performance énergétique,Détection de présence en parties communes
vérification,PE.6.1.4,Performance énergétique,Ballasts électroniques pour lampe fluocompacte
vérification,PE.6.1.5,Performance énergétique,Indépendance des circuits des locaux communs
vérification,PE.6.1.6,Performance énergétique,Temporisation de l'éclairage des parties communes
vérification,PE.6.1.7,Performance énergétique,Efficacité lumineuse lampe des parties communes
vérification,PE.6.2.1,Performance énergétique,Dispositif d'éclairage du hall d'entrée
vérification,PE.6.2.3,Performance énergétique,Indépendance d'éclairage du hall d'entrée
vérification,PE.6.3.1,Performance énergétique,Zones maximales d'éclairage des circulations horizontales
vérification,PE.6.4.1,Performance énergétique,Dispositif d'éclairage des escaliers
vérification,PE.6.5.1,Performance énergétique,Surface d'éclairage des coursives
vérification,PE.6.6.1,Performance énergétique,Surface d'éclairage des parkings
vérification,PE.6.7.1,Performance énergétique,Programmation de l'éclairage de nuit
vérification,PE.6.7.2,Performance énergétique,Eclairage photovoltaïque en extérieur
vérification,PE.6.8.1,Performance énergétique,Interrupteur intérieur pour les balcons et terrasses
vérification,PE.6.8.2,Performance énergétique,Extinction équipement multimédia par interrupteur
vérification,PE.6.9.1,Performance énergétique,Type d'ascenseur
vérification,PE.6.9.2,Performance énergétique,Eclairage des ascenseurs
vérification,PE.6.9.3,Performance énergétique,Récupération d'énergie pour les ascenseurs
vérification,PE.6.10.1,Performance énergétique,BAEH à LED
vérification,PE.7.1.7,Performance énergétique,Autocontrôle de l'installation de chauffage et/ou refroidissement
vérification,PE.7.1.8,Performance énergétique,Autocontrôle de l'installation de production d'eau chaude solaire collective
identification,PE.7.2.12,Performance énergétique,Garantie de Performance Energétique Intrinsèque (GPEI)
vérification,PE.7.2.13,Performance énergétique,Procédures de commissionnement
vérification,PE.7.2.14,Performance énergétique,Chauffe-eau solaire collectif individualisé
vérification,PE.8.1.6,Performance énergétique,Etude thermique
vérification,PE.8.1.7,Performance énergétique,Conception de l'installation solaire thermique
cohérence,PE.8.1.8,Performance énergétique,Conception de l'installation de production utilisant la biomasse en combustion
vérification,PE.8.1.9,Performance énergétique,Conception de l'installation de production utilisant l'énergie géothermique
vérification,PE.8.2.12,Performance énergétique,Conception du système solaire thermique
vérification,PE.8.2.13,Performance énergétique,Installation solaire photovoltaïque
vérification,PE.8.2.14,Performance énergétique,Installation des PAC géothermiques/aérothermiques
vérification,PE.8.2.15,Performance énergétique,Installation des chauffe-eaux thermodynamiques
vérification,PE.8.2.16,Performance énergétique,Installation thermique au bois
vérification,RCE.1.1,Réduction des Consommations d'Eau,Détection des fuites
vérification,RCE.2.1.1,Réduction des Consommations d'Eau,Eaux pluviales
vérification,RCE.2.1.3,Réduction des Consommations d'Eau,Eaux grises
vérification,RCE.2.2.1,Réduction des Consommations d'Eau,WC certifié
vérification,RCE.2.2.2,Réduction des Consommations d'Eau,Chasse d'eau
vérification,RCE.2.2.4,Réduction des Consommations d'Eau,Chasse d'eau double commande 3/6L
identification,RCE.2.3.1,Réduction des Consommations d'Eau,Arrosage collectif
vérification,RCE.2.3.2,Réduction des Consommations d'Eau,Arrosage avec compteur
vérification,RCE.2.4.1,Réduction des Consommations d'Eau,Distribution collective
vérification,RCE.2.4.4,Réduction des Consommations d'Eau,Compteur d'eau en cas de distribution collective
vérification,RCE.2.5.1,Réduction des Consommations d'Eau,Manchette
vérification,RCE.2.5.4,Réduction des Consommations d'Eau,Compteur sur eau froide
vérification,RCE.3.1.1,Réduction des Consommations d'Eau,Robinetterie certifiée
vérification,RCE.3.2.2,Réduction des Consommations d'Eau,Classement ECAU (ou équivalent)
vérification,RCE.3.2.3,Réduction des Consommations d'Eau,Classe de débit
